local_date,label,country
2021-1-2,Public Holiday,botswana
2021-4-2,Good Friday,botswana
2021-4-3,Holy Saturday,botswana
2021-4-5,Easter Monday,botswana
2021-5-1,May Day/Labour Day,botswana
2021-5-13,Ascension Day,botswana
2021-7-1,Sir Seretse Khama Day,botswana
2021-7-20,President's Day,botswana
2021-7-21,Public Holiday,botswana
2021-9-30,Botswana Day,botswana
2021-10-1,Public Holiday,botswana
2021-12-25,Christmas Day,botswana
2021-12-26,Boxing Day,botswana
2021-12-27,Public Holiday,botswana
2021-1-1,New Year,botswana
